fecha,rubro_id,item_id,venta
2021-01-02,61,701,7.0
2021-01-02,54,771,15.0
2021-01-02,54,777,15.0
2021-01-02,71,1278,115.0
2021-01-02,71,1281,3.0
2021-01-02,71,1287,17.0
2021-01-02,15,1362,13.483
2021-01-02,15,1367,730.0
2021-01-02,15,1376,12.283
2021-01-02,15,1379,7.56
2021-01-02,15,1381,39.463
2021-01-02,15,1384,92.519
2021-01-02,15,1385,4.575
2021-01-02,15,1393,330.621
2021-01-02,15,1402,60.0
2021-01-02,15,1403,241.0
2021-01-02,15,1406,413.508
2021-01-02,15,1408,99.965
2021-01-02,15,1425,11.28
2021-01-02,43,2025,3.0
2021-01-02,43,2028,7.0
2021-01-02,43,2029,16.0
2021-01-02,43,2030,7.0
2021-01-02,43,2032,5.0
2021-01-02,43,2040,26.0
2021-01-02,43,2081,4.0
2021-01-02,15,2093,1.622
2021-01-02,15,2099,0.2
2021-01-02,1,3056,21.982
2021-01-02,82,3393,5.0
2021-01-02,54,7600,6.0
2021-01-02,54,7601,51.0
2021-01-02,54,7602,14.0
2021-01-02,61,7826,96.0
2021-01-02,71,9169,17.0
2021-01-02,71,9170,30.0
2021-01-02,1,9227,1.986
2021-01-02,61,10489,28.0
2021-01-02,60,12429,14.0
2021-01-02,60,12430,5.0
2021-01-02,60,12431,13.0
2021-01-02,60,12432,7.0
2021-01-02,60,12434,7.0
2021-01-02,60,12438,12.0
2021-01-02,60,12439,2.0
2021-01-02,15,13122,240.384
2021-01-02,54,14328,2.0
2021-01-02,15,15099,6.457
2021-01-02,61,17631,6.0
2021-01-02,54,19157,21.0
2021-01-02,60,22455,1.0
2021-01-02,60,22616,17.0
2021-01-02,60,22617,24.0
2021-01-02,60,22618,13.0
2021-01-02,60,22619,1.0
2021-01-02,101,23771,9.0
2021-01-02,101,23772,9.0
2021-01-02,60,24086,8.0
2021-01-02,60,24087,10.0
2021-01-02,60,25478,5.0
2021-01-02,60,25479,7.0
2021-01-02,60,25480,6.0
2021-01-02,60,28369,4.0
2021-01-02,72,28404,37.0
2021-01-02,60,28640,7.0
2021-01-02,60,28641,6.0
2021-01-02,60,28642,6.0
2021-01-02,54,29274,10.0
2021-01-02,71,35273,10.0
2021-01-02,71,35404,6.0
2021-01-02,82,52884,5.0
2021-01-02,71,55092,14.0
2021-01-02,15,55481,43.508
2021-01-02,15,55483,2.56
2021-01-02,15,55484,3.535
2021-01-02,15,55485,9.3
2021-01-02,1,58475,26.6
2021-01-02,1,62421,3.282
2021-01-02,74,73851,5.0
2021-01-02,15,81797,2.225
2021-01-02,71,82003,4.0
2021-01-02,1,86928,14.494
2021-01-02,1,86935,11.068
2021-01-02,1,86937,18.672
2021-01-02,1,86938,14.652
2021-01-02,1,86943,9.678
2021-01-02,1,86952,6.53
2021-01-02,1,86978,13.166
2021-01-02,1,86980,8.424
2021-01-02,1,86982,7.024
2021-01-02,1,86983,10.358
2021-01-02,1,86985,58.514
2021-01-02,1,86987,74.452
2021-01-02,15,88003,209.71
2021-01-02,54,90522,2.0
2021-01-02,71,94768,18.0
2021-01-02,15,102512,13.202000000000002
2021-01-02,15,107682,165.39300000000003
2021-01-02,15,123853,147.366
2021-01-02,15,123856,35.731
2021-01-02,15,132861,47.537
2021-01-02,15,137070,24.0
2021-01-02,61,139967,10.0
2021-01-02,153,154623,1.0
2021-01-02,15,155998,132.66
2021-01-02,60,162992,1.0
2021-01-02,101,165874,15.0
2021-01-02,71,167032,80.0
2021-01-02,71,167033,44.0
2021-01-02,71,169006,43.0
2021-01-02,72,174635,10.0
2021-01-02,15,182190,20.0
2021-01-02,15,183286,9.0
2021-01-02,10,190535,8.432
2021-01-02,10,190536,15.534
2021-01-02,10,190538,32.922
2021-01-02,82,191838,27.0
2021-01-02,72,203421,94.0
2021-01-02,71,206744,9.0
2021-01-02,72,240129,22.0
2021-01-02,72,270856,32.0
2021-01-02,153,286143,4.0
2021-01-02,153,286750,3.0
2021-01-02,74,296427,5.0
2021-01-02,71,302500,38.0
2021-01-02,72,305099,29.0
2021-01-02,72,305102,34.0
2021-01-02,72,307380,3.0
2021-01-02,72,307381,9.0
2021-01-02,72,307382,18.0
2021-01-02,15,308982,124.0
2021-01-02,61,310778,11.0
2021-01-02,61,311494,15.0
2021-01-02,61,311495,8.0
2021-01-02,15,315048,19.0
2021-01-02,72,315210,38.0
2021-01-02,43,321469,3.0
2021-01-02,72,331854,2.0
2021-01-02,15,339977,13.0
2021-01-02,71,352060,33.0
2021-01-02,72,352978,18.0
2021-01-02,15,353717,11.0
2021-01-02,71,355844,9.0
2021-01-02,15,358631,25.0
2021-01-02,15,361758,16.0
2021-01-02,71,367294,8.0
2021-01-02,71,368225,13.0
2021-01-02,74,373658,6.0
2021-01-02,15,376635,22.0
2021-01-02,71,377901,19.0
2021-01-02,15,384310,0.504
2021-01-02,15,384311,0.1
2021-01-02,15,384316,0.412
2021-01-02,15,384321,0.894
2021-01-02,72,384441,48.0
2021-01-02,71,393377,13.0
2021-01-02,71,393409,22.0
2021-01-02,71,393410,5.0
2021-01-02,71,397627,19.0
2021-01-02,72,397863,55.0
2021-01-02,83,402306,5.0
2021-01-02,54,420465,25.0
2021-01-02,71,425242,69.0
2021-01-02,15,432365,34.0
